,rule,n_cells,m_attractors,max_period,max_transient,derrida_coeff,transient_to_attractor
232,77,14,843,2,6,0.75,18.412322274881518
233,77,16,2207,2,7,0.75,28.681159420289855
234,78,12,30,1,11,0.75,135.53333333333333
235,78,14,52,1,13,0.75,314.0769230769231
236,78,16,91,1,15,0.75,719.1758241758242
237,79,12,30,2,10,0.625,131.1290322580645
238,79,14,52,2,12,0.625,308.1320754716981
239,79,16,91,2,14,0.625,711.3478260869565
240,80,12,31,12,1,0.5,11.641975308641975
241,80,14,63,14,1,0.5,18.48156956004756
242,80,16,143,16,1,0.5,28.667722951561792
243,81,12,32,12,6,0.625,11.525993883792049
244,81,14,65,14,6,0.625,17.984936268829664
245,81,16,143,16,8,0.625,28.494149414941493
246,82,12,64,24,15,0.875,3.835891381345927
247,82,14,76,56,11,0.875,4.706722396377569
248,82,16,552,32,18,0.875,6.459988616960729
249,83,12,44,24,5,0.75,3.5612472160356345
250,83,14,97,28,8,0.75,5.236771983250857
251,83,16,257,32,9,0.75,7.100865265760198
252,84,12,36,12,6,0.625,10.160762942779291
253,84,14,72,14,6,0.625,16.541755888650965
254,84,16,155,16,8,0.625,26.594105263157896
255,85,12,352,12,0,0.5,0.0
256,85,14,1182,14,0,0.5,0.0
257,85,16,4116,16,0,0.5,0.0
258,86,12,12,102,126,1.0,8.503480278422273
259,86,14,18,1428,127,1.0,6.869356388088376
260,86,16,9,6016,287,1.0,5.3682829656981825
261,87,12,10,24,11,0.625,24.6
262,87,14,18,28,13,0.625,41.11825192802056
263,87,16,32,32,15,0.625,71.81777777777778
264,88,12,29,12,9,0.875,14.226765799256505
265,88,14,51,42,9,0.875,22.372325249643367
266,88,16,115,48,12,0.875,33.1867501304121
267,89,12,33,240,167,1.0,3.366737739872068
268,89,14,16,2198,312,1.0,1.2542652724270775
269,89,16,42,2816,1776,1.0,4.342899070601663
270,90,12,70,4,2,1.0,15.0
271,90,14,298,14,1,1.0,3.0
272,90,16,1,1,8,1.0,65535.0
273,91,12,58,12,11,0.875,21.14054054054054
274,91,14,103,14,18,0.875,67.26666666666667
275,91,16,231,48,24,0.875,117.29602888086643
276,92,12,30,1,11,0.75,135.53333333333333
277,92,14,52,1,13,0.75,314.0769230769231
278,92,16,91,1,15,0.75,719.1758241758242
279,93,12,30,2,10,0.625,131.1290322580645
280,93,14,52,2,12,0.625,308.1320754716981
281,93,16,91,2,14,0.625,711.3478260869565
282,94,12,147,6,11,0.875,10.770114942528735
283,94,14,320,14,12,0.875,17.810562571756602
284,94,16,747,6,17,0.875,37.03598374927452
285,95,12,435,2,1,0.5,3.8703923900118906
286,95,14,1326,2,1,0.5,5.299115724721261
287,95,16,4095,2,1,0.5,7.090864197530864
288,96,12,5,12,8,0.75,135.53333333333333
289,96,14,6,14,9,0.75,314.0769230769231
290,96,16,8,16,11,0.75,719.1758241758242
291,97,12,28,36,18,1.125,15.318725099601593
292,97,14,24,28,31,1.125,61.29657794676806
293,97,16,39,176,46,1.125,66.14754098360656
294,98,12,34,12,6,0.875,10.736389684813753
295,98,14,68,14,7,0.875,17.367713004484305
296,98,16,149,16,8,0.875,27.55599128540305
297,99,12,8,12,14,1.0,69.62068965517241
298,99,14,10,14,17,1.0,159.62745098039215
299,99,16,14,16,20,1.0,363.0888888888889
300,100,12,99,3,6,0.875,39.554455445544555
301,100,14,211,1,8,0.875,76.64928909952607
302,100,16,453,1,8,0.875,143.6710816777042
303,101,12,33,240,167,1.0,3.366737739872068
304,101,14,16,2198,312,1.0,1.2542652724270775
305,101,16,42,2816,1776,1.0,4.342899070601663
306,102,12,24,12,4,1.0,15.0
307,102,14,298,14,2,1.0,3.0
308,102,16,1,1,16,1.0,65535.0
309,103,12,21,30,11,0.875,13.27177700348432
310,103,14,11,42,17,0.875,58.57818181818182
311,103,16,16,48,23,0.875,117.29602888086643
312,104,12,50,2,9,1.125,76.28301886792453
313,104,14,93,2,8,1.125,173.29787234042553
314,104,16,176,2,10,1.125,365.122905027933
315,105,12,10,2,4,1.5,255.0
316,105,14,1172,14,0,1.5,0.0
317,105,16,8230,8,0,1.5,0.0
318,106,12,37,168,85,1.0,4.673130193905817
319,106,14,72,448,153,1.0,3.7053417576105687
320,106,16,155,2688,457,1.0,7.503438432593746
321,107,12,28,36,18,1.125,15.318725099601593
322,107,14,24,28,31,1.125,61.29657794676806
323,107,16,39,176,46,1.125,66.14754098360656
324,108,12,674,2,2,1.0,3.0
325,108,14,2045,2,2,1.0,4.042782394582948
326,108,16,6259,2,2,1.0,5.357163643418373
327,109,12,162,6,12,1.125,7.733475479744136
328,109,14,327,42,20,1.125,10.924308588064047
329,109,16,971,18,20,1.125,14.107422775472568
330,110,12,11,18,35,0.875,42.11578947368421
331,110,14,15,91,38,0.875,47.61721068249258
332,110,16,15,32,95,0.875,228.95087719298246
333,111,12,14,18,14,0.75,25.256410256410255
334,111,14,40,21,11,0.75,41.3359173126615
335,111,16,27,24,20,0.75,138.43829787234043
336,112,12,132,12,1,0.625,1.732488325550367
337,112,14,369,14,1,0.625,2.2309209228948927
338,112,16,1083,16,1,0.625,2.820227338968231
339,113,12,61,12,5,0.75,5.3602484472049685
340,113,14,126,14,5,0.75,8.729216152019003
341,113,16,283,16,7,0.75,13.867513611615244
342,114,12,9,24,10,0.75,36.236363636363635
343,114,14,11,28,11,0.75,91.04494382022472
344,114,16,19,32,12,0.75,161.62034739454094
345,115,12,42,24,7,0.625,3.659840728100114
346,115,14,102,28,7,0.625,5.117998506348021
347,115,16,264,32,9,0.625,7.0117359413202935
