,rule,n_cells,m_attractors,mean_period,var_period,mean_transient,var_transient,derrida_coeff
109,7,14,18,21.61111111111111,113.12654320987656,3.185546875,3.0114707946777344,0.625
110,7,15,22,26.90909090909091,64.71900826446281,3.27984619140625,3.0249575935304165,0.625
111,7,16,32,28.125,89.171875,3.364990234375,3.0056981444358826,0.625
112,8,3,1,1.0,0.0,1.25,0.4375,0.375
113,8,4,1,1.0,0.0,1.4375,0.37109375,0.375
114,8,5,1,1.0,0.0,1.59375,0.3037109375,0.375
115,8,6,1,1.0,0.0,1.6875,0.24609375,0.375
116,8,7,1,1.0,0.0,1.7578125,0.19915771484375,0.375
117,8,8,1,1.0,0.0,1.80859375,0.1625823974609375,0.375
118,8,9,1,1.0,0.0,1.84765625,0.1330413818359375,0.375
119,8,10,1,1.0,0.0,1.8779296875,0.10912227630615234,0.375
120,8,11,1,1.0,0.0,1.90185546875,0.08948874473571777,0.375
121,8,12,1,1.0,0.0,1.9208984375,0.0733327865600586,0.375
122,8,13,1,1.0,0.0,1.9361572265625,0.06001101434230805,0.375
123,8,14,1,1.0,0.0,1.94842529296875,0.04903682693839073,0.375
124,8,15,1,1.0,0.0,1.95831298828125,0.0400102399289608,0.375
125,8,16,1,1.0,0.0,1.9662933349609373,0.032601043349131935,0.375
126,9,3,1,2.0,0.0,1.125,0.609375,0.75
127,9,4,3,2.0,0.0,0.625,0.234375,0.75
128,9,5,1,2.0,0.0,2.8125,1.77734375,0.75
129,9,6,3,6.666666666666668,10.888888888888893,0.828125,0.423583984375,0.75
130,9,7,8,4.625,0.984375,0.9296875,0.50286865234375,0.75
131,9,8,6,6.333333333333332,20.555555555555557,2.6328125,3.95111083984375,0.75
132,9,9,5,5.8,37.35999999999999,5.02734375,5.2883148193359375,0.75
133,9,10,7,8.857142857142858,22.12244897959184,3.5078125,4.69915771484375,0.75
134,9,11,3,15.333333333333336,88.88888888888891,5.88134765625,7.148519277572633,0.75
135,9,12,14,11.142857142857142,32.265306122448976,4.775634765625,12.160841882228851,0.75
136,9,13,4,20.0,108.0,6.8411865234375,10.941208943724632,0.75
137,9,14,40,9.675,42.119375,4.05511474609375,4.665114220231772,0.75
138,9,15,5,24.4,125.44,9.1578369140625,26.51762901246548,0.75
139,9,16,27,17.407407407407412,51.796982167352546,6.581817626953125,14.60670919623226,0.75
140,10,3,2,2.0,1.0,0.5,0.25,0.5
141,10,4,3,3.0,2.0,0.4375,0.24609375,0.5
142,10,5,3,3.6666666666666665,3.5555555555555562,0.65625,0.2255859375,0.5
143,10,6,4,4.0,4.5,0.75,0.1875,0.5
144,10,7,5,5.8,5.760000000000002,0.7734375,0.17523193359375,0.5
145,10,8,8,6.125,6.609375,0.80859375,0.1547698974609375,0.5
146,10,9,10,7.6,8.040000000000003,0.8515625,0.12640380859375,0.5
147,10,10,14,8.642857142857142,7.515306122448982,0.8818359375,0.1042013168334961,0.5
148,10,11,19,10.473684210526317,4.986149584487536,0.90283203125,0.08772635459899902,0.5
149,10,12,31,10.451612903225808,10.570239334027061,0.9208984375,0.0728445053100586,0.5
150,10,13,41,12.707317073170733,3.426531826293873,0.9364013671875,0.0595538467168808,0.5
151,10,14,63,13.34920634920635,5.3701184177374675,0.94866943359375,0.048695739358663566,0.5
152,10,15,94,14.51063829787234,5.505205975554545,0.9583740234375,0.0398932546377182,0.5
153,10,16,143,15.447552447552447,5.519976526969533,0.9662933349609376,0.032570525771006935,0.5
154,11,3,2,2.5,0.25,0.375,0.234375,0.625
155,11,4,2,3.0,1.0,0.875,0.609375,0.625
156,11,5,2,6.0,16.0,1.09375,0.8349609375,0.625
157,11,6,6,3.8333333333333335,2.472222222222222,0.828125,0.517333984375,0.625
158,11,7,4,9.25,25.6875,1.0390625,0.61566162109375,0.625
159,11,8,7,6.571428571428571,5.387755102040817,1.9921875,2.11712646484375,0.625
160,11,9,6,12.833333333333336,53.47222222222222,1.88671875,1.6668548583984375,0.625
161,11,10,15,8.8,6.159999999999998,1.7841796875,1.3645544052124023,0.625
162,11,11,11,19.181818181818183,39.421487603305785,1.99267578125,1.437934637069702,0.625
163,11,12,32,10.21875,11.7958984375,2.696533203125,3.4076637625694275,0.625
164,11,13,22,24.318181818181817,31.035123966942148,2.63427734375,2.9026238918304443,0.625
165,11,14,65,13.276923076923078,5.461775147928994,2.59222412109375,2.3684478364884853,0.625
166,11,15,49,28.16326530612245,40.25905872553103,2.761016845703125,2.512375577352941,0.625
167,11,16,143,15.538461538461537,4.4023668639053275,3.319061279296875,4.975622995756567,0.625
168,12,3,4,1.0,0.0,0.5,0.25,0.5
169,12,4,7,1.0,0.0,0.5625,0.24609375,0.5
170,12,5,11,1.0,0.0,0.65625,0.2255859375,0.5
171,12,6,18,1.0,0.0,0.71875,0.2021484375,0.5
172,12,7,29,1.0,0.0,0.7734375,0.17523193359375,0.5
173,12,8,47,1.0,0.0,0.81640625,0.1498870849609375,0.5
174,12,9,76,1.0,0.0,0.8515625,0.12640380859375,0.5
175,12,10,123,1.0,0.0,0.8798828125,0.10568904876708984,0.5
176,12,11,199,1.0,0.0,0.90283203125,0.08772635459899902,0.5
177,12,12,322,1.0,0.0,0.92138671875,0.0724332332611084,0.5
178,12,13,521,1.0,0.0,0.9364013671875,0.0595538467168808,0.5
179,12,14,843,1.0,0.0,0.94854736328125,0.04880526289343834,0.5
180,12,15,1364,1.0,0.0,0.9583740234375,0.0398932546377182,0.5
181,12,16,2207,1.0,0.0,0.9663238525390624,0.032542064553126686,0.5
182,13,3,4,1.25,0.1875,0.375,0.234375,0.625
183,13,4,3,1.3333333333333333,0.2222222222222222,1.25,0.6875,0.625
184,13,5,6,1.1666666666666667,0.13888888888888887,1.5625,1.30859375,0.625
185,13,6,6,1.1666666666666667,0.13888888888888887,2.015625,1.515380859375,0.625
186,13,7,8,1.125,0.109375,2.296875,1.833740234375,0.625
187,13,8,11,1.0909090909090908,0.08264462809917356,2.515625,2.124755859375,0.625
188,13,9,13,1.0769230769230769,0.07100591715976333,2.712890625,2.2788963317871094,0.625
189,13,10,18,1.0555555555555556,0.05246913580246913,2.8515625,2.46429443359375,0.625
190,13,11,23,1.0434782608695652,0.04158790170132325,2.986328125,2.5652427673339844,0.625
191,13,12,30,1.0333333333333334,0.03222222222222222,3.097900390625,2.6483744978904724,0.625
192,13,13,40,1.025,0.024375,3.19921875,2.714218139648437,0.625
