rule,kr*,ks*,r(0),r(1),r(2),s(0),s(1),s(2)
188,0.2916666666666667,0.16666666666666666,0.25,0.25,0.75,0.75,0.75,0.0
189,0.25,0.1111111111111111,0.5,0.5,0.5,0.5,0.5,0.0
190,0.4166666666666667,0.18055555555555555,0.5,0.5,0.5,0.625,0.625,0.375
191,0.5833333333333334,0.05555555555555555,0.75,0.75,0.75,0.25,0.25,0.0
192,0.5833333333333334,0.3333333333333333,0.5,0.5,1.0,1.5,1.5,0.0
193,0.2916666666666667,0.4166666666666667,0.25,0.25,0.75,1.25,1.25,1.25
194,0.2916666666666667,0.2777777777777778,0.25,0.25,0.75,1.25,1.25,0.0
195,0.3333333333333333,0.2222222222222222,0.0,0.0,1.0,1.0,1.0,0.0
196,0.5,0.2222222222222222,0.75,0.25,0.75,1.0,0.0,1.0
197,0.3333333333333333,0.2777777777777778,0.5,0.5,0.5,1.0,0.75,0.75
198,0.25,0.16666666666666666,0.5,0.0,0.5,0.0,0.75,0.75
199,0.2916666666666667,0.05555555555555555,0.25,0.25,0.75,0.0,0.25,0.25
200,0.5,0.2777777777777778,0.75,0.25,0.75,1.25,0.0,1.25
201,0.25,0.2222222222222222,0.5,0.0,0.5,1.0,0.0,1.0
202,0.3333333333333333,0.16666666666666666,0.5,0.5,0.5,0.75,0.75,0.0
203,0.2916666666666667,0.05555555555555555,0.25,0.25,0.75,0.25,0.0,0.25
204,0.6666666666666666,0.2222222222222222,1.0,0.0,1.0,1.0,0.0,1.0
205,0.5,0.16666666666666666,0.75,0.25,0.75,0.75,0.0,0.75
206,0.5,0.1111111111111111,0.75,0.25,0.75,0.0,0.5,0.5
207,0.5833333333333334,0.0,0.5,0.5,1.0,0.0,0.0,0.0
208,0.5,0.2222222222222222,0.25,0.75,0.75,0.0,1.0,1.0
209,0.3333333333333333,0.2777777777777778,0.5,0.5,0.5,0.75,1.0,0.75
210,0.25,0.16666666666666666,0.0,0.5,0.5,0.75,0.0,0.75
211,0.2916666666666667,0.05555555555555555,0.25,0.25,0.75,0.25,0.0,0.25
212,0.3333333333333333,0.2222222222222222,0.5,0.5,0.5,1.0,1.0,0.0
213,0.5,0.16666666666666666,0.75,0.75,0.25,0.75,0.75,0.0
214,0.16666666666666666,0.23611111111111113,0.25,0.25,0.25,0.875,0.875,0.375
215,0.4166666666666667,0.1111111111111111,0.5,0.5,0.5,0.5,0.5,0.0
216,0.3333333333333333,0.16666666666666666,0.5,0.5,0.5,0.0,0.75,0.75
217,0.2916666666666667,0.05555555555555555,0.75,0.25,0.25,0.25,0.0,0.25
218,0.2916666666666667,0.16666666666666666,0.25,0.75,0.25,0.75,0.0,0.75
219,0.25,0.1111111111111111,0.5,0.5,0.5,0.5,0.0,0.5
220,0.5,0.1111111111111111,0.75,0.25,0.75,0.5,0.5,0.0
