,rule,"((0,), (1,), (2,))","((0,), (1,))","((0,), (2,))","((0,), (1, 2))","((0,),)","((1,), (2,))","((1,), (0, 2))","((2,), (0, 1))","((0, 1), (0, 2), (1, 2))","((0, 1), (0, 2))","((1,),)","((0, 1), (1, 2))","((0, 1),)","((2,),)","((0, 2), (1, 2))","((0, 2),)","((1, 2),)","((0, 1, 2),)"
23,23,0.0,0.0,0.0,0.0,0.18872187554086706,0.0,0.0,0.0,0.0,0.0,0.18872187554086706,0.0,0.12255624891826589,0.18872187554086706,0.0,0.12255624891826589,0.12255624891826589,0.06616562662260117
24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31127812445913294,0.0,0.0,0.31127812445913294,0.31127812445913294,-0.12255624891826589
25,25,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.10684412153416778,0.04879494069539869,0.0,0.10684412153416778,0.6068441215341678,-0.012483183763734251
26,26,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.10684412153416778,0.04879494069539869,0.0,0.6068441215341678,0.10684412153416778,-0.012483183763734251
27,27,0.0,0.0,0.0,0.0,0.18872187554086706,0.0,0.0,0.0,0.0,0.0,0.18872187554086706,0.0,0.12255624891826589,0.0,0.0,0.31127812445913294,0.31127812445913294,-0.12255624891826589
28,28,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.6068441215341678,0.04879494069539869,0.0,0.10684412153416778,0.10684412153416778,-0.012483183763734251
29,29,0.0,0.0,0.0,0.0,0.18872187554086706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31127812445913294,0.18872187554086706,0.0,0.12255624891826589,0.31127812445913294,-0.12255624891826589
30,30,0.0,0.0,0.0,0.0,0.18872187554086706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31127812445913294,0.0,0.0,0.31127812445913294,0.0,0.18872187554086706
31,31,0.0,0.0,0.0,0.0,0.5487949406953987,0.0,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.10684412153416778,0.04879494069539869,0.0,0.10684412153416778,0.10684412153416778,-0.012483183763734251
32,32,0.0,0.0,0.0,0.0,0.13792538097003004,0.0,0.0,0.0,0.0,0.0,0.13792538097003004,0.0,0.01771368125953643,0.13792538097003004,0.0,0.01771368125953643,0.01771368125953643,0.0766472565108971
33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31127812445913294,0.0,0.0,0.0,0.0,0.31127812445913294,0.0,0.18872187554086706
34,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31127812445913294,0.0,0.0,0.31127812445913294,0.0,0.0,0.18872187554086706,0.0
35,35,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.0,0.0,0.0,0.0,0.5487949406953987,0.0,0.10684412153416778,0.04879494069539869,0.0,0.10684412153416778,0.10684412153416778,-0.012483183763734251
36,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31127812445913294,0.0,0.0,0.31127812445913294,0.31127812445913294,-0.12255624891826589
37,37,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.10684412153416778,0.04879494069539869,0.0,0.6068441215341678,0.10684412153416778,-0.012483183763734251
38,38,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.10684412153416778,0.04879494069539869,0.0,0.10684412153416778,0.6068441215341678,-0.012483183763734251
39,39,0.0,0.0,0.0,0.0,0.18872187554086706,0.0,0.0,0.0,0.0,0.0,0.18872187554086706,0.0,0.12255624891826589,0.0,0.0,0.31127812445913294,0.31127812445913294,-0.12255624891826589
40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31127812445913294,0.31127812445913294,0.0,0.0,0.0,0.18872187554086706
41,41,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.10684412153416778,0.04879494069539869,0.0,0.10684412153416778,0.10684412153416778,0.48751681623626575
42,42,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.10684412153416778,0.5487949406953987,0.0,0.10684412153416778,0.10684412153416778,-0.012483183763734251
43,43,0.0,0.0,0.0,0.0,0.18872187554086706,0.0,0.0,0.0,0.0,0.0,0.18872187554086706,0.0,0.12255624891826589,0.18872187554086706,0.0,0.12255624891826589,0.12255624891826589,0.06616562662260117
44,44,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.0,0.0,0.0,0.0,0.04879494069539869,0.0,0.6068441215341678,0.04879494069539869,0.0,0.10684412153416778,0.10684412153416778,-0.012483183763734251
45,45,0.0,0.0,0.0,0.0,0.18872187554086706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31127812445913294,0.0,0.0,0.31127812445913294,0.0,0.18872187554086706
